source_type,article_id,year,location,author_individual,author_position,title,abstract,doi,url,author_year_ID,authors_full
JOUR,90075470,2016,NA," Adamowicz, Susan C.",author_02,"Influence of Physical Manipulations on Short-Term Salt Marsh Morphodynamics: Examples from the North and Mid-Atlantic Coast, USA","Along the mid- and north Atlantic coasts of the USA, over 90 % of salt marshes have been ditched. Ditching was largely abandoned by the mid-twentieth century; however, techniques that create permanent shallow water pools for mosquito control and bird habitat are increasingly being applied to marshes of the USA and elsewhere. Salt marshes in Plum Island Sound, Massachusetts, and Barnegat Bay, New Jersey, were used to examine differences between areas that have been ditched and those altered to increase the density of shallow pools in water table dynamics, salinity, soil and porewater chemistry, as well as short-term sedimentation, accretion, and elevation change rates. We found that the area with plugged ditches, berms, and pools in Plum Island had less drainage, higher salinity and porewater sulfide and ammonium concentrations, and higher soil organic matter than the adjacent ditched area. Despite averaging 8 cm lower in elevation, the Plum Island ditched area had less sediment deposition and was composed of higher elevation plant species than the area with plugged ditches, berms, and shallow pools. Elevation increased in the ditched area at a rate of 3.2 +/- A 0.5 mm/year, but elevation change was variable in the area with pools. In Barnegat Bay, the marsh area with pools and ditches had less sediment deposition and surface accretion than the ditch-only area, associated, in part, with the higher elevation. An average elevation difference of 4.5 cm was associated with a sixfold difference in mineral sediment deposition. Temporal sediment deposition and surface accretion was important in the ditch-only area but was absent or muted in the area with numerous pools. Elevation increased in both marsh areas at an average rate of 1.8 +/- A 0.8 mm/year, less than half the long-term average local rate of sea-level rise. Our results illustrate how physical manipulations including changes to tidal hydrology and surface topography interact with elevation to influence short-term biophysical feedbacks.",10.1007/s12237-015-0013-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957436896&doi=10.1007%2fs12237-015-0013-9&partnerID=40&md5=ff20bad7fa0bb8741518556699843616,Elsey-Quirk_2016_90075470,"Elsey-Quirk, Tracy; Adamowicz, Susan C."
JOUR,90075517,2015,NA," Adamowicz, Susan C.",author_03,Carbon Sequestration in Tidal Salt Marshes of the Northeast United States,"Tidal salt marshes provide important ecological services, habitat, disturbance regulation, water quality improvement, and biodiversity, as well as accumulation and sequestration of carbon dioxide (CO2) in vegetation and soil organic matter. Different management practices may alter their capacity to provide these ecosystem services. We examined soil properties (bulk density, percent organic C, percent N), C and N pools, C sequestration and N accumulation at four marshes managed with open marsh water management (OMWM) and four marshes that were not at U.S. Fish and Wildlife National Wildlife Refuges (NWRs) on the East Coast of the United States. Soil properties (bulk density, percent organic C, percent N) exhibited no consistent differences among managed and non-OMWM marshes. Soil organic carbon pools (0-60-cm depth) also did not differ. Managed marshes contained 15.9 kg C/m(2) compared to 16.2 kg C/m(2) in non-OMWM marshes. Proportionately, more C (per unit volume) was stored in surface than in subsurface soils. The rate of C sequestration, based on Cs-137 and Pb-210 dating of soil cores, ranged from 41 to 152 g/m(2)/year. Because of the low emissions of CH4 from salt marshes relative to freshwater wetlands and the ability to sequester C in soil, protection and restoration of salt marshes can be a vital tool for delivering key ecosystem services, while at the same time, reducing the C footprint associated with managing these wetlands.",10.1007/s00267-015-0568-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940962398&doi=10.1007%2fs00267-015-0568-z&partnerID=40&md5=cc17350aab3de7b3bdf365b2f89c9f99,Drake_2015_90075517,"Drake, Katherine; Halifax, Holly; Adamowicz, Susan C.; Craft, Christopher"
JOUR,90075041,2010, Africa/Middle East," Adams, J. B.",author_02,Response of a hypersaline salt marsh to a large flood and rainfall event along the west coast of southern Africa,"The Orange Estuary lost 27% (276 ha) of its wetland area near the mouth as a result of bad management practices during the 1980s. The salt marsh has been unable to recover over the last 20 years because of the persistently high soil and groundwater salinity. In 2006, a 1 in 5 year flood occurred that completely covered the desertified salt marsh and floodplain with freshwater. The flood was followed by an above average (>45 mm) winter rainfall. Soil and groundwater sampled in April and August 2004 were compared with 2006 data to quantify the impact of the flood and rainfall event. It was hypothesised that the two freshwater events would significantly reduce the soil and groundwater salinity. However, the results showed no significant difference in sediment electrical conductivity throughout the soil profile over the four sampling periods. Soil moisture and organic content however increased significantly after these events in the surface soil layer. The flood deposited silt and scoured sand from the surface layers in significant quantities. The depth to groundwater in the desertified marsh retained a similar pattern after the flood despite 15 cm changes in depth in places. In 2004 a clear groundwater electrical conductivity gradient was present extending from the less saline north part of the marsh (0-15 mS cm(-1)) to the central part (120-135 mS cm(-1)) and decreasing again towards the south (60-75 mS cm(-1)). The flood served to even out the groundwater salinity across the desertified marsh (60-90 mS cm(-1)). The flood and high rainfall had a limited impact on the soil and groundwater characteristics. The few significant changes that were recorded were mostly restricted to the surface soil layers and on a small spatial scale. The rainfall did however create numerous pools of low salinity (<60 mS cm(-1)) water on the marsh surface that provided a brief opportunity for salt marsh seeds to germinate. A further benefit of the flood was the increased tidal reach into the desertified marsh importing freshwater from the river mouth and exporting salt. Despite these responses it is unlikely that the hypersaline salt marsh will revegetate naturally. Human intervention is needed to ensure the rehabilitation of this important Ramsar site. (C) 2010 Elsevier Ltd. All rights reserved.",10.1016/j.ecss.2010.01.024,NA,Bornman_2010_90075041,"Bornman, T. G.; Adams, J. B."
JOUR,90075506,2019, Africa/Middle East," Adams, J. B.",author_03,A comparison of soil carbon pools across a mangrove-salt marsh ecotone at the southern African warm-temperate range limit,"Mangroves and salt marshes are globally recognized for their ability to efficiently sequester and store carbon in biomass and soil carbon pools. An increase in soil carbon has been found at range limits where mangroves are expanding along ecotones into salt marsh, as mangroves store more carbon per unit area. However, the magnitude of this trend is variable at different mangrove range limits depending on the rates of expansion and the local climatic and geomorphological factors that influence current mangrove distribution. This study presents the first account of soil carbon storage across a mangrove-salt marsh ecotone at the Nahoon Estuary, a warm-temperate range limit for the east coast of the African continent. Soil carbon (to 50 cm depth) was compared between mangrove, salt marsh, and a transitional ecotone habitat. We found that soil carbon was highest at 30-50 cm below the surface across all habitats. The average soil carbon in the upper 50 cm was similar in mangrove (110.14 MgC.ha(-1)), ecotone (114.50 MgC.ha(-1)), and salt marsh habitats (109.62 MgC. ha(-1)). These results show that although mangroves have expanded at the Nahoon Estuary over the past 50 years, the soil carbon content is still similar across the mangrove-salt marsh ecotone. This is in contrast to other studies from southern hemisphere mangrove range limits in Australia. However, these trends have been reported at northern hemisphere range limits in the USA. Further studies in this region are needed to identify environmental factors influencing soil carbon variability. (C) 2019 SAAB. Published by Elsevier B.V. All rights reserved.",10.1016/j.sajb.2019.11.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075140774&doi=10.1016%2fj.sajb.2019.11.005&partnerID=40&md5=ef5c47b61c31125b4599af3640c59b85,Raw_2019_90075506,"Raw, J. L.; Julie, C. L.; Adams, J. B."
JOUR,90074759,2019, Africa/Middle East," Agustí, S.",author_08,Accelerated burial of petroleum hydrocarbons in Arabian Gulf blue carbon repositories,NA,10.1016/j.scitotenv.2019.01.437,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062867216&doi=10.1016%2fj.scitotenv.2019.01.437&partnerID=40&md5=7b53e4e60266ab7740c9549b3407dfec,Ashok_2019_90074759,"Ashok, A.; Cusack, M.; Saderne, V.; Krishnakumar, P.K.; Rabaoui, L.; Qurban, M.A.; Duarte, C.M.; Agustí, S."
JOUR,90075397,2018, Africa/Middle East," Agustí, S.",author_06,"Stable Isotope (δ13C, δ15N, δ18O, δD) composition and nutrient concentration of Red Sea primary producers",NA,10.3389/fmars.2018.00298,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052328129&doi=10.3389%2ffmars.2018.00298&partnerID=40&md5=bd1294d4cc2eb97c415732219b50b073,Duarte_2018_90075397,"Duarte, C.M.; Delgado-Huertas, A.; Anton, A.; Carrillo-de-Albornoz, P.; López-Sandoval, D.C.; Agustí, S.; Almahasheer, H.; Marbá, N.; Hendriks, I.E.; Krause-Jensen, D.; Garcias-Bonet, N."
JOUR,90074768,2013, Europe," Ahmad, Iqbal",author_02,"Phenological development stages variation versus mercury tolerance, accumulation, and allocation in salt marsh macrophytes Triglochin maritima and Scirpus maritimus prevalent in Ria de Aveiro coastal lagoon (Portugal)","Efficient and sustainable management of rapidly mounting environmental issues has been the focus of current intensive research. The present study aimed to investigate the impact of plant phenological development stage variation on mercury (Hg) tolerance, accumulation, and allocation in two salt marsh macrophytes Triglochin maritima and Scirpus maritimus prevalent in historically Hg-contaminated Ria de Aveiro coastal lagoon (Portugal). Both plant samples and the sediments vegetated by monospecific stands of T. maritima and S. maritimus were collected from reference (R) and sites with moderate (M) and high (H) Hg contamination in Laranjo bay within Ria de Aveiro lagoon. Hg tolerance, uptake, and allocation in T. maritima and S. maritimus, physico-chemical traits (pH, redox potential, and organic matter content) and Hg concentrations in sediments vegetated by these species were impacted differentially by phenological development stages variation irrespective of the Hg contamination level. In T. maritima, Hg concentration increased with increase in Hg contamination gradient where root displayed significantly higher Hg followed by rhizome and leaf maximally at H. However, in S. maritimus, the highest Hg concentration was perceptible in rhizome followed by root maximally at M. Between the two studied plant species, S. maritimus displayed higher Hg tolerance index (depicted by higher plant dry mass allocated to reproductive stage) and higher available Hg at M (during all growth stages) and H (during senescent stage) when compared to T. maritimus. Both plant species proved to be Hg excluder (low root/rhizome-leaf Hg translocation). Additionally, T. maritima also acted as Hg stabilizer while, S. maritimus as Hg accumulator. It can be inferred from the study that (a) the plant phenological development stage variations significantly influenced plant Hg sensitivity by impacting sediment chemistry, plant growth (in terms of plant dry mass), Hg accumulation, and its subsequent allocation capacity, contingent to Hg contamination gradient; (b) S. maritimus accumulated higher Hg but restricted its translocation to above-ground part using exclusion process at both M and H due to its accelerated growth during Hg-tolerant reproductive/metabolically active phenological development stage greater than its counterpart T. maritima; and (c) the studied salt marsh plants although hailed from the same C3 and monocot group did not necessarily display similar phenotypic plasticity and behavior towards Hg-contaminated scenario during their life cycle.",10.1007/s11356-012-1336-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878113006&doi=10.1007%2fs11356-012-1336-8&partnerID=40&md5=f8246c1cf89f6b2c562d1c93d66c72c6,Anjum_2013_90074768,"Anjum, Naser A.; Ahmad, Iqbal; Valega, Monica; Figueira, Etelvina; Duarte, Armando C.; Pereira, Eduarda"
JOUR,90075132,2012, Europe," Ahmad, Iqbal",author_02,"Salt marsh macrophyte Phragmites australis strategies assessment for its dominance in mercury-contaminated coastal lagoon (Ria de Aveiro, Portugal)","The dominance of a plant species in highly metal-contaminated areas reflects its tolerance or adaptability potential to these scenarios. Hence, plants with high adaptability and/or tolerance to exceptionally high metal-contaminated scenarios may help protect environmental degradation. The present study aimed to assess the strategies adopted by common reed, Phragmites australis for its dominance in highly mercury-contaminated Ria de Aveiro coastal lagoon (Portugal).Both plant samples and the sediments vegetated by monospecific stand of Phragmites australis were collected in five replicates from mercury-free (reference) and contaminated sites during low tide between March 2006 and January 2007. The sediments' physico-chemical traits, plant dry mass, uptake, partitioning, and transfer of mercury were evaluated during growing season (spring, summer, autumn, and winter) of P. australis. Redox potential and pH of the sediment around roots were measured in situ using a WTW-pH 330i meter. Dried sediments were incinerated for 4 h at 500A degrees C for the estimation of organic matter whereas plant samples were oven-dried at 60A degrees C till constant weight for plant dry mass determination. Mercury concentrations in sediments and plant parts were determined by atomic absorption spectrometry with thermal decomposition, using an advanced mercury analyzer (LECO 254) and maintaining the accuracy and precision of the analytical methodologies. In addition, mercury bioaccumulation and translocation factors were also determined to differentiate the accumulation of mercury and its subsequent translocation to plant parts in P. australis.P. australis root exhibited the highest mercury accumulation followed by rhizome and leaves during the reproductive phase (autumn). During the same phase, P. australis exhibited a parts per thousand 5 times less mercury-translocation factor (0.03 in leaf) when compared with the highest mercury bioaccumulation factor for root (0.14). Moreover, seasonal variations differentially impacted the studied parameters. P. australis' extraordinary ability to (a) pool the maximum mercury in its roots and rhizomes, (b) protect its leaf against mercury toxicity by adopting the mercury exclusion, and (c) adjust the rhizosphere-sediment environment during the seasonal changes significantly helps to withstand the highly mercury-contaminated Ria de Aveiro lagoon. The current study implies that P. australis has enough potential to be used for mercury stabilization and restoration of sediments/soils rich in mercury as well.",10.1007/s11356-012-0794-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871720925&doi=10.1007%2fs11356-012-0794-3&partnerID=40&md5=55d3c107edbc67444631ef58f9b689fe,Anjum_2012_90075132,"Anjum, Naser A.; Ahmad, Iqbal; Valega, Monica; Pacheco, Mario; Figueira, Etelvina; Duarte, Armando C.; Pereira, Eduarda"
JOUR,90074471,2013,NA," Allison, Mead A.",author_02,Historical reconstruction of mangrove expansion in the Gulf of Mexico: Linking climate change with carbon sequestration in coastal wetlands,"There has been considerable interest in a recently recognized and important sink in the global carbon pool, commonly referred to as ""blue carbon"". The major goal of this study was to determine the historical reconstruction of mangrove expansion (Avicennia germinans) into salt marshes (Spartina alterniflora) and its effects on carbon sequestration and soil chemistry in wetland soils of the northwestern Gulf of Mexico. We used bulk stable isotopic, chemical biomarker analyses, and aerial imagery analysis to identify changes in OC wetland sources, and radiotracers (Cs-137 and Pb-210) for chronology. Soil cores were collected at two sites at Port Aransas, Texas (USA), Harbor Island and Mud Island.Stable isotopic values of delta C-13 and delta N-15 of all soil samples ranged from -26.8 to -15.6 parts per thousand and 1.8-10.4 parts per thousand and showed a significant trend of increasing depletion for each isotope from bottom to surface soils. The most depleted delta C-13 values were in surface soils at the Mud Island (Mangrove 2) location. Carbon sequestration rates were greater in mangroves and for the Mud Island Mangrove 1 and the Marsh 1 sites ranged from 253 to 270 and 101-125 g C m(-2) yr(-1), respectively. Lignin storage rates were also greater for mangrove sites and for the Mud Island Mangrove 1 and the Marsh 1 ranged from 19.5 to 20.1 and 16.5 to 12.8 g lignin m(-2) yr(-1), respectively. The Delta(8) and Delta(6) values for all cores ranged from 0.5 to 21.5 and 0.4 to 16.5, respectively, and showed a significant increase from bottom to surface sediments. If regional changes in the Gulf of Mexico are to persist and much of the marsh vegetation was to be replaced by mangroves, there could be significant increases on the overall storage and sequestration of carbon in the coastal zone. Published by Elsevier Ltd.",10.1016/j.ecss.2012.12.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875396267&doi=10.1016%2fj.ecss.2012.12.007&partnerID=40&md5=be56fef42754b5b76233937e4ad3e20b,Bianchi_2013_90074471,"Bianchi, Thomas S.; Allison, Mead A.; Zhao, Jun; Li, Xinxin; Comeaux, Rebecca S.; Feagin, Rusty A.; Kulawardhana, R. Wasantha"
JOUR,90074684,2012,NA," Allison, Mead A.",author_02,Mangrove expansion in the Gulf of Mexico with climate change: Implications for wetland health and resistance to rising sea levels,"Black mangroves (Avicennia spp.) are hypothesized to expand their latitudinal range with global climate change in the 21st century, induced by a reduction in the frequency and severity of coastal freezes, which are known to limit mangrove colony extent and individual tree size. The Gulf of Mexico is a prime candidate for population expansion to occur because it is located at the northward limit of black mangrove habitat. This may come at the expense of existing coastal saline wetlands that are dominantly Spartina spp. marsh grasses. The present study was conducted to focus on the implications of a marsh to mangrove transition in Gulf wetlands, specifically: (1) wetland resistance to accelerating eustatic sea level rise (ESLR) rates; (2) resistance to wave attack in large storms (increased cyclonic storm frequency/intensity is predicted with future climate warming); and (3) organic carbon sequestration and wetland soil geochemistry. Field sites of adjacent and inter-grown Avicennia germinans mangrove and Spartina marsh populations in similar geomorphological setting were selected in back-barrier areas near Port Aransas and Galveston, TX. Elevation surveys in the more mature Port Aransas site indicate mangrove vegetated areas are 4 cm higher in elevation than surrounding marsh on an average regional scale, and 1 -2 cm higher at the individual mangrove scale. Pb-210 and Cs-137 accumulation rates and loss on ignition data indicate that mineral trapping is 4.1 times higher and sediment organics are 1.7 times lower in mangroves at Port Aransas. This additional mineral trapping does not differ in grain size character from marsh accumulation. Elevation change may also be effected by soil displacement of higher root volumes in mangrove cores. Port Aransas porosities are lower in mangrove rooted horizons, with a corresponding increase in sediment strength, suggesting mangrove intervals are more resistant to wave-induced erosion during storm events. Port Aransas mangroves exhibit higher pore water redox potentials and salinities over entire core depths and depressed pH over rooted intervals, suggesting a distinct diagenetic environment exists relative to marsh sites. The rooting network, which introduces oxygen into the sediment and focuses evapo-transpiration and salt exclusion within this zone, may prove advantageous when competing with grasses by elevating salinities to levels that are toxic for Spartina. Trends observed in the more mature systems of Port Aransas are generally absent in Galveston, suggesting the youth and physically shorter stature of these systems means they have not yet established a unique sediment signature. (C) 2011 Elsevier Ltd. All rights reserved.",10.1016/j.ecss.2011.10.003,NA,Comeaux_2012_90074684,"Comeaux, Rebecca S.; Allison, Mead A.; Bianchi, Thomas S."
