"","Source","Site_name","Original_source","State","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","SOC_stock_MgC_ha"
"71","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.335915,152.487129,"direct from dataset","1","Australia","NA",0,1,396.87
"72","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.335387,152.486775,"direct from dataset","1","Australia","NA",0,1,378.31
"73","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.332219,152.487558,"direct from dataset","1","Australia","NA",0,1,526.44
"74","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.331954,152.488078,"direct from dataset","1","Australia","NA",0,1,484.44
"75","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.335827,152.486963,"direct from dataset","1","Australia","NA",0,1,421.97
"76","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.33548,152.486681,"direct from dataset","1","Australia","NA",0,1,401.04
"77","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.335316,152.486606,"direct from dataset","1","Australia","NA",0,1,394.88
"78","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.331959,152.487744,"direct from dataset","1","Australia","NA",0,1,375.37
"79","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-31.548156,152.850292,"direct from dataset","1","Australia","NA",0,1,70.88
"80","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-31.548157,152.850128,"direct from dataset","1","Australia","NA",0,1,62.34
"81","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-31.548849,152.849641,"direct from dataset","1","Australia","NA",0,1,59.42
"82","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-31.549316,152.850247,"direct from dataset","1","Australia","NA",0,1,59.85
"83","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-31.548288,152.850027,"direct from dataset","1","Australia","NA",0,1,76.22
"84","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-31.548317,152.849789,"direct from dataset","1","Australia","NA",0,1,135.38
"85","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-31.548791,152.849655,"direct from dataset","1","Australia","NA",0,1,77.93
"86","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-31.549326,152.850143,"direct from dataset","1","Australia","NA",0,1,60.81
"87","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-31.550647,152.844706,"direct from dataset","1","Australia","NA",0,1,399.85
"88","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-31.550666,152.844532,"direct from dataset","1","Australia","NA",0,1,455.18
"89","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-31.550844,152.844299,"direct from dataset","1","Australia","NA",0,1,430.76
"90","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-31.551297,152.84392,"direct from dataset","1","Australia","NA",0,1,284.7
"91","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-31.550832,152.84476,"direct from dataset","1","Australia","NA",0,1,158.04
"92","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-31.550746,152.844469,"direct from dataset","1","Australia","NA",0,1,489.13
"93","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-31.551298,152.844047,"direct from dataset","1","Australia","NA",0,1,247.11
"94","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-31.551587,152.844076,"direct from dataset","1","Australia","NA",0,1,258.15
"95","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-30.881341,153.021083,"direct from dataset","1","Australia","NA",0,1,246.48
"96","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-30.881221,153.020945,"direct from dataset","1","Australia","NA",0,1,196.48
"97","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-30.881028,153.020623,"direct from dataset","1","Australia","NA",0,1,206.27
"98","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-30.88072,153.020661,"direct from dataset","1","Australia","NA",0,1,272.6
"99","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-30.88188,153.020618,"direct from dataset","1","Australia","NA",0,1,297.84
"100","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-30.881356,153.020585,"direct from dataset","1","Australia","NA",0,1,188.54
"101","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-30.880897,153.020322,"direct from dataset","1","Australia","NA",0,1,161.64
"102","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-30.880387,153.019917,"direct from dataset","1","Australia","NA",0,1,192.04
"103","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-30.895303,152.998782,"direct from dataset","1","Australia","NA",0,1,216.15
"104","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-30.894471,152.99864,"direct from dataset","1","Australia","NA",0,1,215.09
"105","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-30.8945,152.999039,"direct from dataset","1","Australia","NA",0,1,244.04
"106","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-30.894151,152.999446,"direct from dataset","1","Australia","NA",0,1,216.19
"107","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-30.895831,152.99888,"direct from dataset","1","Australia","NA",0,1,201.95
"108","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-30.894598,152.998704,"direct from dataset","1","Australia","NA",0,1,137.61
"109","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-30.894752,152.999114,"direct from dataset","1","Australia","NA",0,1,167.35
"110","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-30.894039,152.999826,"direct from dataset","1","Australia","NA",0,1,262.52
"111","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-29.433247,153.357211,"direct from dataset","1","Australia","NA",0,1,19.03
"112","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-29.433082,153.357022,"direct from dataset","1","Australia","NA",0,1,54.68
"113","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-29.432776,153.355344,"direct from dataset","1","Australia","NA",0,1,25.54
"114","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-29.432585,153.355133,"direct from dataset","1","Australia","NA",0,1,27.84
"115","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-29.430523,153.354053,"direct from dataset","1","Australia","NA",0,1,50.43
"116","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-29.430525,153.354074,"direct from dataset","1","Australia","NA",0,1,46
"117","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-29.43065,153.354144,"direct from dataset","1","Australia","NA",0,1,39.48
"118","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-29.43068,153.354197,"direct from dataset","1","Australia","NA",0,1,31.61
"119","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-29.378531,153.351907,"direct from dataset","1","Australia","NA",0,1,27.88
"120","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-29.378577,153.351646,"direct from dataset","1","Australia","NA",0,1,49.61
"121","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-29.378704,153.35155,"direct from dataset","1","Australia","NA",0,1,72.34
"122","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-29.378677,153.351427,"direct from dataset","1","Australia","NA",0,1,77.8
"123","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-29.379282,153.351802,"direct from dataset","1","Australia","NA",0,1,143.46
"124","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-29.379417,153.351839,"direct from dataset","1","Australia","NA",0,1,98.25
"125","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-29.378973,153.352044,"direct from dataset","1","Australia","NA",0,1,122.84
"126","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-29.37877,153.352024,"direct from dataset","1","Australia","NA",0,1,160.35
"127","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.6191,150.014094,"direct from dataset","1","Australia","NA",0,1,30.77
"128","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.621031,150.013702,"direct from dataset","1","Australia","NA",0,1,45.25
"129","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.622331,150.012487,"direct from dataset","1","Australia","NA",0,1,64.52
"130","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.623864,150.012852,"direct from dataset","1","Australia","NA",0,1,119.27
"131","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.619529,150.015049,"direct from dataset","1","Australia","NA",0,1,39.14
"132","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.618931,150.013648,"direct from dataset","1","Australia","NA",0,1,36.66
"133","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.62185,150.011766,"direct from dataset","1","Australia","NA",0,1,138.53
"134","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.625145,150.013351,"direct from dataset","1","Australia","NA",0,1,104.16
"135","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.588995,150.016316,"direct from dataset","1","Australia","NA",0,1,246.94
"136","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.588943,150.012815,"direct from dataset","1","Australia","NA",0,1,274.64
"137","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.588911,150.012526,"direct from dataset","1","Australia","NA",0,1,196.64
"138","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.588869,150.012133,"direct from dataset","1","Australia","NA",0,1,190.39
"139","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.588958,150.013557,"direct from dataset","1","Australia","NA",0,1,168.14
"140","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.58865,150.012109,"direct from dataset","1","Australia","NA",0,1,218.69
"141","Serrano et al 2019","OS QLD","Lovelock et al. The role of surface and subsurface processes in keeping pace with sea level rise in intertidal wetlands of Moreton Bay, Queensland, Australia. Ecosystems, 14(5), 745-757 (2011)","QLD","Tidal marsh",-27.5696,153.29068,"direct from dataset","1","Australia","NA",0,1,151.67
"142","Serrano et al 2019","OS QLD","Lovelock et al. The role of surface and subsurface processes in keeping pace with sea level rise in intertidal wetlands of Moreton Bay, Queensland, Australia. Ecosystems, 14(5), 745-757 (2011)","QLD","Tidal marsh",-27.5699,153.29056,"direct from dataset","1","Australia","NA",0,1,147.37
"143","Serrano et al 2019","OS QLD","Lovelock et al. The role of surface and subsurface processes in keeping pace with sea level rise in intertidal wetlands of Moreton Bay, Queensland, Australia. Ecosystems, 14(5), 745-757 (2011)","QLD","Tidal marsh",-27.56924,153.29115,"direct from dataset","1","Australia","NA",0,1,33.01
"144","Serrano et al 2019","OS QLD","Lovelock et al. The role of surface and subsurface processes in keeping pace with sea level rise in intertidal wetlands of Moreton Bay, Queensland, Australia. Ecosystems, 14(5), 745-757 (2011)","QLD","Tidal marsh",-27.52054,153.41237,"direct from dataset","1","Australia","NA",0,1,110.05
"145","Serrano et al 2019","OS QLD","Lovelock et al. The role of surface and subsurface processes in keeping pace with sea level rise in intertidal wetlands of Moreton Bay, Queensland, Australia. Ecosystems, 14(5), 745-757 (2011)","QLD","Tidal marsh",-27.51997,153.41294,"direct from dataset","1","Australia","NA",0,1,38.76
"146","Serrano et al 2019","OS QLD","Lovelock et al. The role of surface and subsurface processes in keeping pace with sea level rise in intertidal wetlands of Moreton Bay, Queensland, Australia. Ecosystems, 14(5), 745-757 (2011)","QLD","Tidal marsh",-27.52019,153.41267,"direct from dataset","1","Australia","NA",0,1,121.53
"147","Serrano et al 2019","OS QLD","Lovelock et al. The role of surface and subsurface processes in keeping pace with sea level rise in intertidal wetlands of Moreton Bay, Queensland, Australia. Ecosystems, 14(5), 745-757 (2011)","QLD","Tidal marsh",-27.43569,153.43513,"direct from dataset","1","Australia","NA",0,1,962.68
"148","Serrano et al 2019","OS QLD","Lovelock et al. The role of surface and subsurface processes in keeping pace with sea level rise in intertidal wetlands of Moreton Bay, Queensland, Australia. Ecosystems, 14(5), 745-757 (2011)","QLD","Tidal marsh",-27.43511,153.43516,"direct from dataset","1","Australia","NA",0,1,43.06
"149","Serrano et al 2019","OS QLD","Lovelock et al. The role of surface and subsurface processes in keeping pace with sea level rise in intertidal wetlands of Moreton Bay, Queensland, Australia. Ecosystems, 14(5), 745-757 (2011)","QLD","Tidal marsh",-27.43832,153.43399,"direct from dataset","1","Australia","NA",0,1,736.84
"150","Serrano et al 2019","OS QLD","Lovelock et al. The role of surface and subsurface processes in keeping pace with sea level rise in intertidal wetlands of Moreton Bay, Queensland, Australia. Ecosystems, 14(5), 745-757 (2011)","QLD","Tidal marsh",-27.43766,153.43441,"direct from dataset","1","Australia","NA",0,1,58.37
"151","Serrano et al 2019","OS QLD","Lovelock et al. The role of surface and subsurface processes in keeping pace with sea level rise in intertidal wetlands of Moreton Bay, Queensland, Australia. Ecosystems, 14(5), 745-757 (2011)","QLD","Tidal marsh",-27.43796,153.4342,"direct from dataset","1","Australia","NA",0,1,74.16
"152","Serrano et al 2019","OS QLD","Lovelock et al. The role of surface and subsurface processes in keeping pace with sea level rise in intertidal wetlands of Moreton Bay, Queensland, Australia. Ecosystems, 14(5), 745-757 (2011)","QLD","Tidal marsh",-27.43379,153.4358,"direct from dataset","1","Australia","NA",0,1,51.67
"153","Serrano et al 2019","OS QLD","Lovelock et al. The role of surface and subsurface processes in keeping pace with sea level rise in intertidal wetlands of Moreton Bay, Queensland, Australia. Ecosystems, 14(5), 745-757 (2011)","QLD","Tidal marsh",-27.35169,153.08588,"direct from dataset","1","Australia","NA",0,1,33.01
"154","Serrano et al 2019","OS QLD","Lovelock et al. The role of surface and subsurface processes in keeping pace with sea level rise in intertidal wetlands of Moreton Bay, Queensland, Australia. Ecosystems, 14(5), 745-757 (2011)","QLD","Tidal marsh",-27.35169,153.08588,"direct from dataset","1","Australia","NA",0,1,132.54
"155","Serrano et al 2019","OS QLD","Lovelock et al. The role of surface and subsurface processes in keeping pace with sea level rise in intertidal wetlands of Moreton Bay, Queensland, Australia. Ecosystems, 14(5), 745-757 (2011)","QLD","Tidal marsh",-27.35065,153.08581,"direct from dataset","1","Australia","NA",0,1,83.25
"156","Serrano et al 2019","OS QLD","Lovelock et al. The role of surface and subsurface processes in keeping pace with sea level rise in intertidal wetlands of Moreton Bay, Queensland, Australia. Ecosystems, 14(5), 745-757 (2011)","QLD","Tidal marsh",-27.28913,153.04438,"direct from dataset","1","Australia","NA",0,1,46.89
"157","Serrano et al 2019","OS QLD","Lovelock et al. The role of surface and subsurface processes in keeping pace with sea level rise in intertidal wetlands of Moreton Bay, Queensland, Australia. Ecosystems, 14(5), 745-757 (2011)","QLD","Tidal marsh",-27.28858,153.04543,"direct from dataset","1","Australia","NA",0,1,336.36
"158","Serrano et al 2019","OS QLD","Lovelock et al. The role of surface and subsurface processes in keeping pace with sea level rise in intertidal wetlands of Moreton Bay, Queensland, Australia. Ecosystems, 14(5), 745-757 (2011)","QLD","Tidal marsh",-27.28955,153.04396,"direct from dataset","1","Australia","NA",0,1,191.39
"159","Serrano et al 2019","OS SA","This study","SA","Tidal marsh",-33.566763,137.950078,"direct from dataset","1","Australia","NA",0,1,31.05
"160","Serrano et al 2019","OS SA","This study","SA","Tidal marsh",-33.566794,137.949759,"direct from dataset","1","Australia","NA",0,1,238.08
"161","Serrano et al 2019","OS SA","This study","SA","Tidal marsh",-33.566708,137.949364,"direct from dataset","1","Australia","NA",0,1,171.54
"162","Serrano et al 2019","OS SA","This study","SA","Tidal marsh",-33.04877,137.5695,"direct from dataset","1","Australia","NA",0,1,238.46
"163","Serrano et al 2019","OS SA","This study","SA","Tidal marsh",-32.47853,137.7646,"direct from dataset","1","Australia","NA",0,1,202.73
"164","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.836383,146.151417,"direct from dataset","1","Australia","NA",0,1,44.58
"165","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.835867,146.15085,"direct from dataset","1","Australia","NA",0,1,62.17
"166","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.660283,145.7896,"direct from dataset","1","Australia","NA",0,1,93.62
"167","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.660533,145.7901,"direct from dataset","1","Australia","NA",0,1,99
"168","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.661017,145.790433,"direct from dataset","1","Australia","NA",0,1,109.5
"169","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.60935,146.88875,"direct from dataset","1","Australia","NA",0,1,198.58
"170","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.60985,146.88885,"direct from dataset","1","Australia","NA",0,1,102.87
"171","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.608933,146.88865,"direct from dataset","1","Australia","NA",0,1,224.79
"172","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.69365,146.2436,"direct from dataset","1","Australia","NA",0,1,43.84
"173","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.694467,146.244083,"direct from dataset","1","Australia","NA",0,1,36.98
"174","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.694133,146.24395,"direct from dataset","1","Australia","NA",0,1,100.52
"175","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.689367,146.33515,"direct from dataset","1","Australia","NA",0,1,30.58
"176","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.6894,146.334617,"direct from dataset","1","Australia","NA",0,1,34.75
"177","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.689367,146.333717,"direct from dataset","1","Australia","NA",0,1,46.52
