Article ID,Article Title,User Name,Resolve?,Include,Location of interest,Less interest,Primary data?,Dataset already extracted?,User Note,Title,Journal,Authors
90074264,"Underestimated PAH accumulation potential of blue carbon vegetation: Evidence from sedimentary records of saltmarsh and mangrove in Yueqing Bay, China",taniamaxwell7,,FALSE,, China,FALSE,,,"Underestimated PAH accumulation potential of blue carbon vegetation: Evidence from sedimentary records of saltmarsh and mangrove in Yueqing Bay, China",,"Huang, Runqiu; Zhang, Chunfang; Xu, Xiangrong; Jin, Runjie; Li, Dan; Christakos, George; Xiao, Xi; He, Junyu; Agusti, Susana; Duarte, Carlos M; Wu, Jiaping"
90074265,"Soil extracellular enzyme activities in low salinity gradient tidal marshes of the Min River estuary, southeast China",taniamaxwell7,,FALSE,, China,FALSE,,,"Soil extracellular enzyme activities in low salinity gradient tidal marshes of the Min River estuary, southeast China",,"Hu, Q.; Luo, M.; Huang, J.; Wu, J.; Zhu, A.; Tan, J.; Li, J."
90074266,Habitat segregation of two dotillid crabs Scopimera globosa and Ilyoplax pusilla in relation to their cellulase activity on a marsh-dominated estuarine tidal flat in central Japan,taniamaxwell7,,TRUE, Asia,,FALSE,,,Habitat segregation of two dotillid crabs Scopimera globosa and Ilyoplax pusilla in relation to their cellulase activity on a marsh-dominated estuarine tidal flat in central Japan,,"Kawaida, Shun; Kimura, Taeko; Toyohara, Haruhiko"
90074267,"Tidal marsh biomass field plot and remote sensing datasets for six regions in the conterminous United States (ver. 2.0, June 2020)",taniamaxwell7,,FALSE,,USA,,TRUE,,"Tidal marsh biomass field plot and remote sensing datasets for six regions in the conterminous United States (ver. 2.0, June 2020)",,"Byrd, Kristin B; Ballanti, Laurel R; Nguyen, Dung K; Holmquist, James R; Simard, Marc; Windham-Myers, Lisamarie; Schile, Lisa M; Parker, Thomas V; Callaway, John C; Vasey, Michael C; Herbert, Ellen R; Davis, Melanie J; Woo, Isa; De La Cruz, Susan E; Kroeger, Kevin D; Gonneea, Meagan J; O'Keefe Suttles, Jennifer; Megonigal, Patrick J; Lu, Meng; McFarland, Liza; Brooks, Hope; Drake, Bert; Peresta, Gary; Peresta, Andrew; Troxler, Tiffany; Castaneda, Edward"
90074268,Shift in soil organic carbon and nitrogen pools in different reclaimed lands following intensive coastal reclamation on the coasts of eastern China,taniamaxwell7,,FALSE,, China,TRUE,,,Shift in soil organic carbon and nitrogen pools in different reclaimed lands following intensive coastal reclamation on the coasts of eastern China,,"Yang, Wen; Xia, Lu; Zhu, Zhihong; Jiang, Lifen; Cheng, Xiaoli; An, Shuqing"
90074269,Changes in soil organic matter quality during sea-influenced marsh soil development at the North Sea coast,taniamaxwell7,,TRUE, Europe,,TRUE,,,Changes in soil organic matter quality during sea-influenced marsh soil development at the North Sea coast,,"Spohn, Marie; Babka, Beata; Giani, Luise"
90074270,Pyrolysis-Gas Chromatography/Mass Spectrometry of Soil Organic Matter Extracted from a Brazilian Mangrove and Spanish Salt Marshes,taniamaxwell7,,TRUE," Central/South America, Europe",,FALSE,,,Pyrolysis-Gas Chromatography/Mass Spectrometry of Soil Organic Matter Extracted from a Brazilian Mangrove and Spanish Salt Marshes,,"Ferreira, Fernando Perobelli; Vidal-Torrado, Pablo; Buurman, Peter; Macias, Felipe; Otero, Xose Luis; Boluda, Rafael"
90074271,Long term carbon storage potential and CO2 sink strength of a restored salt marsh in New Jersey,taniamaxwell7,,FALSE,,USA,FALSE,,,Long term carbon storage potential and CO2 sink strength of a restored salt marsh in New Jersey,,"Artigas, Francisco; Shin, Jin Young; Hobble, Christine; Marti-Donati, Alejandro; Schaefer, Karina V. R.; Pechmann, Ildiko"
90074272,"Importance of quantifying the full-depth carbon reservoir of Jamaica Bay salt Marshes, New York",taniamaxwell7,,FALSE,,USA,TRUE,,,"Importance of quantifying the full-depth carbon reservoir of Jamaica Bay salt Marshes, New York",,"Pace, G.; Peteet, D.; Dunton, M.; Wang-Mondaca, C.; Ismail, S.; Supino, J.; Nichols, J."
90074273,Temperate mangrove and salt marsh sediments are a small methane and nitrous oxide source but important carbon store,taniamaxwell7,,FALSE,, Australia,TRUE,,,Temperate mangrove and salt marsh sediments are a small methane and nitrous oxide source but important carbon store,,"Livesley, Stephen J.; Andrusiak, Sascha M."
90074274,Does edge erosion alter coastal wetland soil properties? A multi-method biogeochemical study,taniamaxwell7,,FALSE,,USA,TRUE,,,Does edge erosion alter coastal wetland soil properties? A multi-method biogeochemical study,,"Steinmuller, Havalend E.; Hayes, Michael P.; Hurst, Nia R.; Sapkota, Yadav; Cook, Robert L.; White, John R.; Xue, Zuo; Chambers, Lisa G."
90074275,Lutein and the C/N as tracers of organic matter in the Palmones River estuary,taniamaxwell7,,FALSE, Europe,,FALSE,,,Lutein and the C/N as tracers of organic matter in the Palmones River estuary,,"Angeles Arrojo, Ma; Jimenez, Carlos; Rubio, Lourdes; Xavier Niell, F."
90074276,"Infilling of the Canche Estuary (eastern English Channel, France): Insight from benthic foraminifera and historical pictures",taniamaxwell7,,FALSE, Europe,,FALSE,,,"Infilling of the Canche Estuary (eastern English Channel, France): Insight from benthic foraminifera and historical pictures",,"Francescangeli, F.; Portela, M.; du Chatelet, Armynot E.; Billon, G.; Andersen, T. J.; Bouchet, V. M. P.; Trentesaux, A."
90074277,New multi-metric Salt Marsh Sediment Microbial Index (SSMI) application to salt marsh sediments ecological status assessment,taniamaxwell7,,FALSE, Europe,,FALSE,,,New multi-metric Salt Marsh Sediment Microbial Index (SSMI) application to salt marsh sediments ecological status assessment,,"Duarte, B.; Freitas, J.; Couto, T.; Valentim, J.; Dias, J. M.; Silva, H.; Marques, J. C.; Cacador, I."
90074278,"Distribution and Sources of Organic Carbon in Surface Intertidal Sediments of the Rudong Coast, Jiangsu Province, China",taniamaxwell7,,FALSE,, China,TRUE,,,"Distribution and Sources of Organic Carbon in Surface Intertidal Sediments of the Rudong Coast, Jiangsu Province, China",,"Mao, Yinan; Ma, Qingyun; Lin, Jiaxin; Chen, Ye; Shu, Qiang"
90074281,"Characteristics of sedimentary environments in brackish marsh soils in relation to organic matter properties (Puck Lagoon, Northern Poland)",taniamaxwell7,,TRUE, Europe (rare),,TRUE,,,"Characteristics of sedimentary environments in brackish marsh soils in relation to organic matter properties (Puck Lagoon, Northern Poland)",,"Hulisz, Piotr; Krzeslak, Iwona; Karasiewicz, Miroslaw T."
90074286,Effects of river damming and delta erosion on organic carbon burial in the Changjiang Estuary and adjacent East China Sea inner shelf,taniamaxwell7,,FALSE,, China,TRUE,,,Effects of river damming and delta erosion on organic carbon burial in the Changjiang Estuary and adjacent East China Sea inner shelf,,"Zhao, Bin; Yao, Peng; Li, Dong; Yu, Zhigang"
90074289,Oceanographic and human impacts on the compositions of sedimentary organic matter along the southern coast of Zhoushan,taniamaxwell7,,FALSE,, China,TRUE,,,Oceanographic and human impacts on the compositions of sedimentary organic matter along the southern coast of Zhoushan,,"Parker, Stephanie; Chen, Xue-Gang; Loh, Pei Sun; He, Shuangyan; Jin, Ai-Min; Zhao, Jianru; Li, Zhongqiao; Chen, Jianfang; Sun, Yuxia; Chen, Jiawang"
90074293,Effects of salt marsh plants on mobility and bioavailability of REE in estuarine sediments,taniamaxwell7,,FALSE, Europe,,FALSE,,,Effects of salt marsh plants on mobility and bioavailability of REE in estuarine sediments,,"Brito, Pedro; Caetano, Miguel; Martins, Marcelo D.; Cacador, Isabel"
90074297,"Interacting Effects of Plant Invasion, Climate, and Soils on Soil Organic Carbon Storage in Coastal Wetlands",taniamaxwell7,,FALSE,, China,TRUE,,,"Interacting Effects of Plant Invasion, Climate, and Soils on Soil Organic Carbon Storage in Coastal Wetlands",,"Yang, Ren-Min"
90074302,"Spatial and seasonal distribution of carbon, nitrogen, phosphorus, and sulfur and their ecological stoichiometry in wetland soils along a water and salt gradient in the Yellow River Delta, China",taniamaxwell7,,FALSE,, China,TRUE,,,"Spatial and seasonal distribution of carbon, nitrogen, phosphorus, and sulfur and their ecological stoichiometry in wetland soils along a water and salt gradient in the Yellow River Delta, China",,"Lu, Qiongqiong; Bai, Junhong; Zhang, Guangliang; Zhao, Qingqing; Wu, Jianjun"
90074305,Assessment of sediment penetrability as an integrated in situ measure of intertidal soft-sediment conditions,taniamaxwell7,,TRUE,North America,,FALSE,,,Assessment of sediment penetrability as an integrated in situ measure of intertidal soft-sediment conditions,,"Gerwing, Travis G.; Barbeau, Myriam A.; Hamilton, Diana J.; Gerwing, Alyssa M. Allen; Sinclair, Jesse; Campbell, Lily; Davies, Morgan M.; Harvey, Bronwyn; Juanes, Francis; Dudas, Sarah E."
90074310,Biogeochemical Organic Carbon Cycles in the Intertidal SandySediment of Nakdong Estuary 낙동강 하구 갯벌 사질 퇴적물에서 생지화학적 유기탄소순환,taniamaxwell7,,TRUE, Asia,,TRUE,,,Biogeochemical Organic Carbon Cycles in the Intertidal SandySediment of Nakdong Estuary 낙동강 하구 갯벌 사질 퇴적물에서 생지화학적 유기탄소순환,,"Lee, Jae Seong; An, Soonmo; Kim, SeonggGil; Kim, Seong-Soo; Jung, Raehong; PARK, Jongsoo; 박미옥; 진현국"
90074316,"Signatures of tetraether lipids reveal anthropogenic overprinting of natural organic matter in sediments of the Thames Estuary, UK",taniamaxwell7,,FALSE,, UK,FALSE,,,"Signatures of tetraether lipids reveal anthropogenic overprinting of natural organic matter in sediments of the Thames Estuary, UK",,"dos Santos, Raquel A. Lopes; Vane, Christopher H."
90074317,Rapid colonization of degraded mangrove habitat by succulent salt marsh,taniamaxwell7,,TRUE, Africa/Middle East,,FALSE,,,Rapid colonization of degraded mangrove habitat by succulent salt marsh,,"Mbense, S.; Rajkaran, A.; Bolosha, U.; Adams, J."
90074318,Experimental sediment addition in salt-marsh management: Plant-soil carbon dynamics in southern New England,taniamaxwell7,,FALSE,,USA,TRUE,,,Experimental sediment addition in salt-marsh management: Plant-soil carbon dynamics in southern New England,,"Puchkoff, Anna L.; Lawrence, Beth A."
90074319,Combined influence of sedimentation and vegetation on the soil carbon stocks of a coastal wetland in the Changjiang estuary,taniamaxwell7,,FALSE,, China,TRUE,,,Combined influence of sedimentation and vegetation on the soil carbon stocks of a coastal wetland in the Changjiang estuary,,Zhang Tianyu; Chen Huaipu; Cao Haobing; Ge Zhenming; Zhang Liquan
90074320,"Metal speciation (Cu, Zn, Pb) and organic matter in an oxic salt marsh, Severn Estuary, southwest Britain",taniamaxwell7,,FALSE,, UK,FALSE,,,"Metal speciation (Cu, Zn, Pb) and organic matter in an oxic salt marsh, Severn Estuary, southwest Britain",,"Allen, J.R.L.; Rae, J.E.; Zanin, P.E."
90074321,Spatial Distribution Characteristics of Fe and Mn Contents in the New-born Coastal Marshes in the Yellow River Estuary,taniamaxwell7,,FALSE,, China,FALSE,,,Spatial Distribution Characteristics of Fe and Mn Contents in the New-born Coastal Marshes in the Yellow River Estuary,,Sun Wen-guang; Gan Zhuo-ting; Sun Zhi-gao; Li Li-li; Sun Jing-kuan; Sun Wan-long; Mou Xiao-jie; Wang Ling-ling
90074322,Data from: Geochemical analyses reveal the importance of environmental history for blue carbon sequestration,taniamaxwell7,,FALSE,, Australia,TRUE,,,Data from: Geochemical analyses reveal the importance of environmental history for blue carbon sequestration,,"Kelleway, Jeffrey J; Saintilan, Neil; Macreadie, Peter I; Baldock, Jeff A; Heijnis, Hendrik; Zawadzkis, A; Gadd, Patricia; Jacobsen, Geraldine; Ralph, Peter J"
90074323,"The effect of environmental conditions on the growth and development of the oilseed halophyte Salicornia bigelovii Torr. In arid Baja California Sur, México",taniamaxwell7,,TRUE, Central/South America,,FALSE,,,"The effect of environmental conditions on the growth and development of the oilseed halophyte Salicornia bigelovii Torr. In arid Baja California Sur, México",,"Troyo-Diéguez, E.; Ortega-Rubio, A.; Maya, Y.; León, J.L."
90074324,Soil carbon may be maintained under grazing in a St Lawrence Estuary tidal marsh,taniamaxwell7,,TRUE,North America,,TRUE,,,Soil carbon may be maintained under grazing in a St Lawrence Estuary tidal marsh,,"Yu, O. T.; Chmura, G. L."
90074325,Spatial variability of arbuscular mycorrhizal fungal spores in two natural plant communities,taniamaxwell7,,TRUE, Europe,,FALSE,,,Spatial variability of arbuscular mycorrhizal fungal spores in two natural plant communities,,"Carvalho, L.M.; Correia, P.M.; Ryel, R.J.; Martins-Loução, M.A."
90074326,Compositional and abundance changes of nitrogen-cycling genes in plant-root microbiomes along a salt marsh chronosequence,taniamaxwell7,,TRUE, Europe,,FALSE,,,Compositional and abundance changes of nitrogen-cycling genes in plant-root microbiomes along a salt marsh chronosequence,,"Wang, Miao; Veldsink, Jan Henk; Dini-Andreote, Francisco; Salles, Joana Falcao"
90074327,"Carbon stable isotope (δ13C) and elemental (TOC, TN) geochemistry in saltmarsh surface sediments (Western Brittany, France): a useful tool for reconstructing Holocene relative sea-level",taniamaxwell7,,TRUE, Europe,,TRUE,,,"Carbon stable isotope (δ13C) and elemental (TOC, TN) geochemistry in saltmarsh surface sediments (Western Brittany, France): a useful tool for reconstructing Holocene relative sea-level",,"Goslin, J.; Sansjofre, P.; Van Vliet-Lanoë, B.; Delacourt, C."
90074328,Effects of reclamation and regeneration processes on organic matter from estuarine soils and sediments,taniamaxwell7,,TRUE, Europe,,FALSE,,,Effects of reclamation and regeneration processes on organic matter from estuarine soils and sediments,,"Santin, C.; de la Rosa, J. M.; Knicker, H.; Otero, X. L.; Alvarez, M. A.; Gonzalez-Vila, F. J."
90074329,Determination of microbial carbon sources in petroleum contaminated sediments using molecular C-14 analysis,taniamaxwell7,,FALSE,,USA,FALSE,,,Determination of microbial carbon sources in petroleum contaminated sediments using molecular C-14 analysis,,"Slater, G.F.; White, H.K.; Eglinton, T.I.; Reddy, C.M."
90074330,A decadal-scale nutrient loading study in a coastal wetland: Impacts on soil microbial processes,taniamaxwell7,,FALSE,,USA,FALSE,,,A decadal-scale nutrient loading study in a coastal wetland: Impacts on soil microbial processes,,"Steinmuller, H. E.; Graham, S. A.; White, J. R.; McKee, M.; Mendelssohn, I. A."
90074331,Denitrification potential of marsh soils in two natural saline-alkaline wetlands,taniamaxwell7,,FALSE,, China,FALSE,,,Denitrification potential of marsh soils in two natural saline-alkaline wetlands,,Bai Junhong; Zhao Qingqing; Wang Junjing; Lu Qiongqiong; Ye Xiaofei; Gao Zhaoqin
90074332,Climatic temperature controls the geographical patterns of coastal marshes greenhouse gases emissions over China,taniamaxwell7,,FALSE,, China,FALSE,,,Climatic temperature controls the geographical patterns of coastal marshes greenhouse gases emissions over China,,"Li, Xiaofei; Sardans, Jordi; Hou, Lijun; Liu, Min; Xu, Chaobin; Penuelas, Josep"
90074333,Heavy metals in Hediste diversicolor (polychaeta : nereididae) and salt marsh sediments from the lagoon of Venice (Italy),taniamaxwell7,,TRUE, Europe (rare),,FALSE,,,Heavy metals in Hediste diversicolor (polychaeta : nereididae) and salt marsh sediments from the lagoon of Venice (Italy),,"Frangipane, G.; Volphi Ghirardini, A.; Collavini, F.; Zaggia, L.; Pesce, A.; Tagliapietra, D."
90074334,Geochemical processes controlling the distribution and concentration of metals in soils from a Patagonian (Argentina) salt marsh affected by mining residues,taniamaxwell7,,TRUE, Central/South America,,FALSE,,,Geochemical processes controlling the distribution and concentration of metals in soils from a Patagonian (Argentina) salt marsh affected by mining residues,,"Idaszkin, Yanina L.; del Pilar Alvarez, Maria; Carol, Eleonora"
90074335,How do zooplankton respond to coastal wetland restoration? the case of newly created salt marsh lagoons in La Pletera (NE Catalonia),taniamaxwell7,,TRUE, Europe,,FALSE,,,How do zooplankton respond to coastal wetland restoration? the case of newly created salt marsh lagoons in La Pletera (NE Catalonia),,"Cabrera, Santiago; Compte, Jordi; Gascon, Stephanie; Boix, Dani; Cunillera-Montcusi, David; Barrero, Lucas; Quintana, Xavier D."
90074336,"Sources of hydrocarbons in sediments of the Mandovi estuary and the Marmugoa harbour, West coast of India",taniamaxwell7,,TRUE, Asia,,TRUE,,,"Sources of hydrocarbons in sediments of the Mandovi estuary and the Marmugoa harbour, West coast of India",,"Harji, Ranjita R.; Yvenat, Antoine; Bhosle, Narayan B."
90074337,LOSS ON IGNITION AND KJELDAHL DIGESTION FOR ESTIMATING ORGANIC-CARBON AND TOTAL NITROGEN IN ESTUARINE MARSH SOILS - CALIBRATION WITH DRY COMBUSTION,taniamaxwell7,,FALSE,North America,,TRUE,,,LOSS ON IGNITION AND KJELDAHL DIGESTION FOR ESTIMATING ORGANIC-CARBON AND TOTAL NITROGEN IN ESTUARINE MARSH SOILS - CALIBRATION WITH DRY COMBUSTION,,"Craft, C.B.; Seneca, E.D.; Broome, S.W."
90074339,Soil Carbon Characteristics in Two Mississippi River Deltaic Marshland Profiles,taniamaxwell7,,FALSE,,USA,TRUE,,,Soil Carbon Characteristics in Two Mississippi River Deltaic Marshland Profiles,,"Wang, Jim J.; Dodla, Syam K.; DeLaune, Ronald D.; Hudnall, Wayne H.; Cook, Robert L."
90074341,Methane production potential and methanogenic archaea community dynamics along the Spartina alterniflora invasion chronosequence in a coastal salt marsh,taniamaxwell7,,FALSE,, China,TRUE,,,Methane production potential and methanogenic archaea community dynamics along the Spartina alterniflora invasion chronosequence in a coastal salt marsh,,"Yuan, Junji; Ding, Weixin; Liu, Deyan; Xiang, Jian; Lin, Yongxin"
90074343,"Natural and Regenerated Saltmarshes Exhibit Similar Soil and Belowground Organic Carbon Stocks, Root Production and Soil Respiration",taniamaxwell7,,FALSE,, Australia,TRUE,,,"Natural and Regenerated Saltmarshes Exhibit Similar Soil and Belowground Organic Carbon Stocks, Root Production and Soil Respiration",,"Santini, Nadia S.; Lovelock, Catherine E.; Hua, Quan; Zawadzki, Atun; Mazumder, Debashish; Mercer, Tim R.; Munoz-Rojas, Miriam; Hardwick, Simon A.; Madala, Bindu Swapna; Cornwell, William; Thomas, Torsten; Marzinelli, Ezequiel M.; Adam, Paul; Paul, Swapan; Verges, Adriana"
90074345,Soil-Aggregate-Associated Organic Carbon Along Vegetation Zones in Tidal Salt Marshes in the Liaohe Delta,taniamaxwell7,,FALSE,, China,TRUE,,,Soil-Aggregate-Associated Organic Carbon Along Vegetation Zones in Tidal Salt Marshes in the Liaohe Delta,,"Mao, Rong; Ye, Si-Yuan; Zhang, Xin-Hou"
90074346,COMPARISON OF CARBON CONTENT OF THE SEDIMENTS AND THEIR PORE WATERS IN SALT MARSHES AT KINGSPORT AND GRAND-PRE MINAS BASIN BAY OF FUNDY NOVA-SCOTIA CANADA,taniamaxwell7,,TRUE,North America,,TRUE,,,COMPARISON OF CARBON CONTENT OF THE SEDIMENTS AND THEIR PORE WATERS IN SALT MARSHES AT KINGSPORT AND GRAND-PRE MINAS BASIN BAY OF FUNDY NOVA-SCOTIA CANADA,,MACKINNON M D; WALKER A D
90074348,The soil environment of the intertidal area in the Westerschelde,taniamaxwell7,,FALSE,,,FALSE,,,The soil environment of the intertidal area in the Westerschelde,,"Oenema, O.; Steneker, R.; Reynders, J."
90074349,Succession of macrofaunal communities and environmental properties along a gradient of smooth cordgrass Spartina alterniflora invasion stages,taniamaxwell7,,FALSE,, China,TRUE,,,Succession of macrofaunal communities and environmental properties along a gradient of smooth cordgrass Spartina alterniflora invasion stages,,"Ge, Baoming; Jiang, Senhao; Yang, Li; Zhang, Huabin; Tang, Boping"
90074352,Dissolved Organic Matter Export from Surface Sediments of a New England Salt Marsh,taniamaxwell7,,FALSE,,USA,FALSE,,,Dissolved Organic Matter Export from Surface Sediments of a New England Salt Marsh,,"Schiebel, Hayley N.; Peri, Francesco; Chen, Robert F."
90074354,"The soil physical and chemical properties of restored and natural back-barrier salt marsh on Isles Dernieres, Louisiana",taniamaxwell7,,FALSE,,USA,TRUE,,,"The soil physical and chemical properties of restored and natural back-barrier salt marsh on Isles Dernieres, Louisiana",,"Fearnley, Sarah"
90074355,Spatial and halophyte-associated microbial communities in intertidal coastal region of India,taniamaxwell7,,TRUE, Asia,,FALSE,,,Spatial and halophyte-associated microbial communities in intertidal coastal region of India,,"Chaudhary, Doongar R.; Rathore, Aditya P.; Kumar, Raghawendra; Jha, Bhavanath"
90074356,Geo-pedogenesis of Salic Fluvisols on the North Sea island of Spiekeroog,taniamaxwell7,,TRUE, Europe (rare),,FALSE,,,Geo-pedogenesis of Salic Fluvisols on the North Sea island of Spiekeroog,,"Giani, L; Ahrens, V; Duntze, O; Irmer, SK"
90074357,Dynamics of labile soil organic carbon during the development of mangrove and salt marsh ecosystems,taniamaxwell7,,FALSE,, China,TRUE,,,Dynamics of labile soil organic carbon during the development of mangrove and salt marsh ecosystems,,"Cui, Lina; Sun, Huimin; Du, Xuhua; Feng, Wenting; Wang, Yugang; Zhang, Jinchi; Jiang, Jiang"
90074358,"The influence of Sarcocornia fruticosa on retention of PAHs in salt marsh sediments (Sado estuary, Portugal)",taniamaxwell7,,FALSE, Europe,,FALSE,,,"The influence of Sarcocornia fruticosa on retention of PAHs in salt marsh sediments (Sado estuary, Portugal)",,"Martins, Marta; Ferreira, Ana Maria; Vale, Carlos"
90074359,Fate of plant detritus in a European salt marsh dominated by Atriplex portulacoides (L.) Aellen,taniamaxwell7,,FALSE, Europe,,FALSE,,,Fate of plant detritus in a European salt marsh dominated by Atriplex portulacoides (L.) Aellen,,"Bouchard, V.; Creach, V.; Lefeuvre, J. C.; Bertru, G.; Mariotti, A."
90074360,Macrobenthic prey and physical habitat characteristics in a western Gulf sturgeon population: differential estuarine habitat use patterns,taniamaxwell7,,FALSE,,USA,FALSE,,,Macrobenthic prey and physical habitat characteristics in a western Gulf sturgeon population: differential estuarine habitat use patterns,,"Peterson, Mark S.; Havrylkoff, Jeanne-Marie; Grammer, Paul O.; Mickle, Paul F.; Slack, William T.; Yeager, Kevin M."
