"Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","Year_collected_end","U_depth_m","L_depth_m","Method","Data_type","OC_perc","BD_reported_g_cm3","Core","Nation","SOM_perc","SOM_perc_Heiri","N_perc","Original_source","Conv_factor","State","Location","Depth_to_bedrock_m","Season","Treatment","Replicate","n_cores","Core_type","SOM_perc_mean","SOM_perc_sd","OC_perc_mean","OC_perc_sd","OC_perc_se","BD_reported_g_cm3_mean","BD_reported_g_cm3_se","BD_reported_g_cm3_sd","OC_perc_combined","SOM_perc_combined","BD_reported_combined"
"Adame et al 2020","MFA IC Plot 1","Insulator Creek","Plot 1","Salt marsh",-18.8952599104916,146.26099029562,"direct from dataset and estimated",1,"Australia",2016,NA,0,0.1,"EA","Core-level",1,1.23,NA,NA,NA,NA,NA,"Adame et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1.23
"Adame et al 2020","MFA IC Plot 2","Insulator Creek","Plot 2","Salt marsh",-18.8951126708873,146.260891898981,"direct from dataset and estimated",1,"Australia",2016,NA,0,0.15,"EA","Core-level",1.2,0.71,NA,NA,NA,NA,NA,"Adame et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,0.71
"Adame et al 2020","MFA IC Plot 3","Insulator Creek","Plot 3","Salt marsh",-18.8949543496924,146.26078599736,"direct from dataset and estimated",1,"Australia",2016,NA,0,0.15,"EA","Core-level",1.6,1.2,NA,NA,NA,NA,NA,"Adame et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,1.2
"Adame et al 2020","MFA IC Plot 4","Insulator Creek","Plot 4","Salt marsh",-18.8947947982654,146.260679754221,"direct from dataset and estimated",1,"Australia",2016,NA,0,0.15,"EA","Core-level",1.2,1.31,NA,NA,NA,NA,NA,"Adame et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,1.31
"Adame et al 2020","MFA IC Plot 5","Insulator Creek","Plot 5","Salt marsh",-18.8945943468993,146.260541666667,"direct from dataset and estimated",1,"Australia",2016,NA,0,0.15,"EA","Core-level",4.6,0.57,NA,NA,NA,NA,NA,"Adame et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,0.57
"Adame et al 2021","MFA Arco 10m","Arco","Arco 10m","Salt marsh",30.4578789257437,-116.025855087149,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",15.56,0.52,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.56,NA,0.52
"Adame et al 2021","MFA Arco 30m","Arco","Arco 30m","Salt marsh",30.4577021252893,-116.025837227569,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",14.5,0.52,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,NA,0.52
"Adame et al 2021","MFA Arco 50m","Arco","Arco 50m","Salt marsh",30.4575242986184,-116.025812689808,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",6.55,0.35,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.55,NA,0.35
"Adame et al 2021","MFA Arco 70m","Arco","Arco 70m","Salt marsh",30.4573420866107,-116.025789898268,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",3.24,0.5,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.24,NA,0.5
"Adame et al 2021","MFA Arco 90m","Arco","Arco 90m","Salt marsh",30.4571622874464,-116.025769382576,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",4.01,0.79,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.01,NA,0.79
"Adame et al 2021","MFA Chapala 10m","Chapala","Chapala 10m","Salt marsh",30.5133740346101,-115.982799611524,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",10.26,0.29,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.26,NA,0.29
"Adame et al 2021","MFA Chapala 30m","Chapala","Chapala 30m","Salt marsh",30.5134371431058,-115.982996190987,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",8.69,0.35,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.69,NA,0.35
"Adame et al 2021","MFA Chapala 50m","Chapala","Chapala 50m","Salt marsh",30.5135044541256,-115.983188326967,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",8.48,0.36,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.48,NA,0.36
"Adame et al 2021","MFA Chapala 70m","Chapala","Chapala 70m","Salt marsh",30.5135684380306,-115.983386083945,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",11.95,0.26,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.95,NA,0.26
"Adame et al 2021","MFA Chapala 90m","Chapala","Chapala 90m","Salt marsh",30.513634712485,-115.983579700134,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",15.33,0.23,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.33,NA,0.23
"Adame et al 2021","MFA Kenton 10m","Kenton","Kenton 10m","Salt marsh",30.4653149710291,-115.98006346212,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",6.43,0.52,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.43,NA,0.52
"Adame et al 2021","MFA Kenton 30m","Kenton","Kenton 30m","Salt marsh",30.465416832222,-115.980235827254,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",3.82,0.52,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.82,NA,0.52
"Adame et al 2021","MFA Kenton 50m","Kenton","Kenton 50m","Salt marsh",30.4655152128799,-115.980405848819,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",6.96,0.35,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.96,NA,0.35
"Adame et al 2021","MFA Kenton 70m","Kenton","Kenton 70m","Salt marsh",30.4656175841831,-115.980580505587,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",3.92,0.5,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.92,NA,0.5
"Adame et al 2021","MFA Kenton 90m","Kenton","Kenton 90m","Salt marsh",30.4657176916862,-115.98075191678,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",3.56,0.79,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.56,NA,0.79
"Bunzel et al 2019","DB Bay of Tumlau","Bay of Tumlau",NA,"Salt marsh",54.3642,8.6764,"direct from dataset",1,"Germany",2013,NA,0,0.01,"EA","Core-level",1.79,NA,NA,NA,NA,NA,NA,"Bunzel et al 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79,NA,NA
"Bunzel et al 2019","DB Eider estuary","Eider estuary",NA,"Salt marsh",54.2837,8.8943,"direct from dataset",1,"Germany",2016,NA,0,0.01,"EA","Core-level",4.02,NA,NA,NA,NA,NA,NA,"Bunzel et al 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.02,NA,NA
"Bunzel et al 2019","DB Friedrichskoog","Friedrichskoog",NA,"Salt marsh",54.0431,8.8723,"direct from dataset",1,"Germany",2016,NA,0,0.01,"EA","Core-level",2.3,NA,NA,NA,NA,NA,NA,"Bunzel et al 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA
"Bunzel et al 2019","DB Kaiser-Wilhelm-Koog","Kaiser-Wilhelm-Koog",NA,"Salt marsh",53.9347,8.9069,"direct from dataset",1,"Germany",2016,NA,0,0.01,"EA","Core-level",NA,NA,NA,NA,NA,NA,NA,"Bunzel et al 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burden et al 2018","AB 13.1","Barrow Hill Natural","13.1","Salt marsh",51.797117,0.921222,"direct from dataset",1,"UK",2011,NA,0,0.3,"EA","Core-level",4.387,0.466960113,NA,NA,8.601206462,NA,0.447,"Burden et al 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.387,8.601206462,0.466960113
"Burden et al 2018","AB 17.1","Brandy Hole Natural","17.1","Salt marsh",51.629647,0.645383,"direct from dataset",1,"UK",2011,NA,0,0.3,"EA","Core-level",3.6804,0.451740467,NA,NA,7.634992086,NA,0.388,"Burden et al 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6804,7.634992086,0.451740467
"Burden et al 2018","AB 14.1","Ferry Lane (B) Natural","14.1","Salt marsh",51.852865,0.960211,"direct from dataset",1,"UK",2011,NA,0,0.3,"EA","Core-level",4.3929,0.446778365,NA,NA,7.565666237,NA,0.437,"Burden et al 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3929,7.565666237,0.446778365
"Burden et al 2018","AB 16.1","North Fambridge Natural","16.1","Salt marsh",51.639013,0.663894,"direct from dataset",1,"UK",2011,NA,0,0.3,"EA","Core-level",2.743,0.62552278,NA,NA,5.630073228,NA,0.313,"Burden et al 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.743,5.630073228,0.62552278
"Burden et al 2018","AB 12.1","Northey Natural","12.1","Salt marsh",51.719498,0.709383,"direct from dataset",1,"UK",2011,NA,0,0.3,"EA","Core-level",6.1241,0.396175008,NA,NA,11.16756699,NA,0.574,"Burden et al 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1241,11.16756699,0.396175008
"Burden et al 2018","AB 11.1","Orplands Natural","11.1","Salt marsh",51.718446,0.859936,"direct from dataset",1,"UK",2011,NA,0,0.3,"EA","Core-level",6.6781,0.362812567,NA,NA,12.3196877,NA,0.597,"Burden et al 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6781,12.3196877,0.362812567
"Burden et al 2018","AB 10.1","Tollesbury Natural","10.1","Salt marsh",51.769154,0.836512,"direct from dataset",1,"UK",2011,NA,0,0.3,"EA","Core-level",10.026,0.289320058,NA,NA,18.55690542,NA,0.751,"Burden et al 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.026,18.55690542,0.289320058
"Burden et al 2018","AB 15.1","Wallasea Island Natural","15.1","Salt marsh",51.621201,0.81135,"direct from dataset",1,"UK",2011,NA,0,0.3,"EA","Core-level",3.6054,0.654973543,NA,NA,5.277846997,NA,0.357,"Burden et al 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6054,5.277846997,0.654973543
"Camacho et al 2014","SC AL","La Guadiana","AL","Salt marsh",37.474975,-7.470641667,"direct from dataset",1,"Portugal",2010,NA,0,0.02,"EA","Core-level",2.1,NA,NA,NA,NA,NA,NA,"Camacho et al 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA
"Camacho et al 2014","SC Aouro","La Guadiana","Aouro","Salt marsh",37.30785556,-7.44335,"direct from dataset",1,"Portugal",2010,NA,0,0.02,"EA","Core-level",1.58,NA,NA,NA,NA,NA,NA,"Camacho et al 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58,NA,NA
"Camacho et al 2014","SC E1","La Guadiana","E1","Salt marsh",37.19294444,-7.404575,"direct from dataset",1,"Portugal",2010,NA,0,0.02,"EA","Core-level",0.555,NA,NA,NA,NA,NA,NA,"Camacho et al 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555,NA,NA
"Camacho et al 2014","SC E2","La Guadiana","E2","Salt marsh",37.19293889,-7.404661111,"direct from dataset",1,"Portugal",2010,NA,0,0.02,"EA","Core-level",0.265,NA,NA,NA,NA,NA,NA,"Camacho et al 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.265,NA,NA
"Camacho et al 2014","SC E3","La Guadiana","E3","Salt marsh",37.19285,-7.405113889,"direct from dataset",1,"Portugal",2010,NA,0,0.02,"EA","Core-level",0.73,NA,NA,NA,NA,NA,NA,"Camacho et al 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,NA,NA
"Camacho et al 2014","SC EE","La Guadiana","EE","Salt marsh",37.19524444,-7.405452778,"direct from dataset",1,"Portugal",2010,NA,0,0.02,"EA","Core-level",0.51,NA,NA,NA,NA,NA,NA,"Camacho et al 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,NA,NA
"Camacho et al 2014","SC FB1","La Guadiana","FB1","Salt marsh",37.26033611,-7.435066667,"direct from dataset",1,"Portugal",2010,NA,0,0.02,"EA","Core-level",4.305,NA,NA,NA,NA,NA,NA,"Camacho et al 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.305,NA,NA
"Camacho et al 2014","SC FB2","La Guadiana","FB2","Salt marsh",37.26038333,-7.435041667,"direct from dataset",1,"Portugal",2010,NA,0,0.02,"EA","Core-level",2.265,NA,NA,NA,NA,NA,NA,"Camacho et al 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.265,NA,NA
"Camacho et al 2014","SC FB3","La Guadiana","FB3","Salt marsh",37.26043611,-7.435011111,"direct from dataset",1,"Portugal",2010,NA,0,0.02,"EA","Core-level",3.18,NA,NA,NA,NA,NA,NA,"Camacho et al 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.18,NA,NA
"Camacho et al 2014","SC FO","La Guadiana","FO","Salt marsh",37.35146111,-7.446797222,"direct from dataset",1,"Portugal",2010,NA,0,0.02,"EA","Core-level",5.185,NA,NA,NA,NA,NA,NA,"Camacho et al 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.185,NA,NA
"Camacho et al 2014","SC LAR","La Guadiana","LAR","Salt marsh",37.40341111,-7.457247222,"direct from dataset",1,"Portugal",2010,NA,0,0.02,"EA","Core-level",1.275,NA,NA,NA,NA,NA,NA,"Camacho et al 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.275,NA,NA
"Camacho et al 2014","SC LEZ1","La Guadiana","LEZ1","Salt marsh",37.2123,-7.441461111,"direct from dataset",1,"Portugal",2010,NA,0,0.02,"EA","Core-level",6.55,NA,NA,NA,NA,NA,NA,"Camacho et al 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.55,NA,NA
"Camacho et al 2014","SC LEZ2","La Guadiana","LEZ2","Salt marsh",37.21238333,-7.441502778,"direct from dataset",1,"Portugal",2010,NA,0,0.02,"EA","Core-level",2.4,NA,NA,NA,NA,NA,NA,"Camacho et al 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA
"Camacho et al 2014","SC LEZ3","La Guadiana","LEZ3","Salt marsh",37.21239444,-7.441491667,"direct from dataset",1,"Portugal",2010,NA,0,0.02,"EA","Core-level",1.775,NA,NA,NA,NA,NA,NA,"Camacho et al 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.775,NA,NA
"Camacho et al 2014","SC LG1","La Guadiana","LG1","Salt marsh",37.17340556,-7.406683333,"direct from dataset",1,"Portugal",2010,NA,0,0.02,"EA","Core-level",7.415,NA,NA,NA,NA,NA,NA,"Camacho et al 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.415,NA,NA
"Camacho et al 2014","SC LG2","La Guadiana","LG2","Salt marsh",37.17337222,-7.406733333,"direct from dataset",1,"Portugal",2010,NA,0,0.02,"EA","Core-level",5.845,NA,NA,NA,NA,NA,NA,"Camacho et al 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.845,NA,NA
"Camacho et al 2014","SC LG3","La Guadiana","LG3","Salt marsh",37.17334167,-7.406766667,"direct from dataset",1,"Portugal",2010,NA,0,0.02,"EA","Core-level",2.8,NA,NA,NA,NA,NA,NA,"Camacho et al 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA
"Camacho et al 2014","SC PI1","La Guadiana","PI1","Salt marsh",37.23855278,-7.423413889,"direct from dataset",1,"Portugal",2010,NA,0,0.02,"EA","Core-level",4.16,NA,NA,NA,NA,NA,NA,"Camacho et al 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.16,NA,NA
"Camacho et al 2014","SC PI2","La Guadiana","PI2","Salt marsh",37.23872778,-7.42315,"direct from dataset",1,"Portugal",2010,NA,0,0.02,"EA","Core-level",3.28,NA,NA,NA,NA,NA,NA,"Camacho et al 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.28,NA,NA
"Camacho et al 2014","SC PI3","La Guadiana","PI3","Salt marsh",37.23881667,-7.423047222,"direct from dataset",1,"Portugal",2010,NA,0,0.02,"EA","Core-level",2.225,NA,NA,NA,NA,NA,NA,"Camacho et al 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.225,NA,NA
"Camacho et al 2014","SC PI4","La Guadiana","PI4","Salt marsh",37.23885,-7.422983333,"direct from dataset",1,"Portugal",2010,NA,0,0.02,"EA","Core-level",1.705,NA,NA,NA,NA,NA,NA,"Camacho et al 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.705,NA,NA
"Camacho et al 2014","SC SCM","La Guadiana","SCM","Salt marsh",37.20994444,-7.463930556,"direct from dataset",1,"Portugal",2010,NA,0,0.02,"EA","Core-level",4.26,NA,NA,NA,NA,NA,NA,"Camacho et al 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.26,NA,NA
"Camacho et al 2014","SC VRSA1","La Guadiana","VRSA1","Salt marsh",37.2083,-7.417133333,"direct from dataset",1,"Portugal",2010,NA,0,0.02,"EA","Core-level",0.63,NA,NA,NA,NA,NA,NA,"Camacho et al 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,NA
"Camacho et al 2014","SC VRSA2","La Guadiana","VRSA2","Salt marsh",37.20831944,-7.417008333,"direct from dataset",1,"Portugal",2010,NA,0,0.02,"EA","Core-level",3.17,NA,NA,NA,NA,NA,NA,"Camacho et al 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.17,NA,NA
"Camacho et al 2014","SC VRSA3","La Guadiana","VRSA3","Salt marsh",37.20839444,-7.416686111,"direct from dataset",1,"Portugal",2010,NA,0,0.02,"EA","Core-level",0.9,NA,NA,NA,NA,NA,NA,"Camacho et al 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA
"Camacho et al 2014","SC VRSA4","La Guadiana","VRSA4","Salt marsh",37.20851389,-7.416213889,"direct from dataset",1,"Portugal",2010,NA,0,0.02,"EA","Core-level",2.465,NA,NA,NA,NA,NA,NA,"Camacho et al 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.465,NA,NA
"CCRCN",NA,NA,NA,"marsh",29.9186660755556,-93.3470854980555,"direct from dataset",1,"United States",2015,NA,0,0.02,"EA","Core-level",0.724,0.298011784371046,"1983-1",NA,19.901865631403,NA,NA,"Abbott et al 2019",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.724,19.901865631403,0.298011784371046
"CCRCN",NA,NA,NA,"marsh",29.9186604275,-93.3434637444444,"direct from dataset",1,"United States",2015,NA,0,0.02,"EA","Core-level",3.8637,0.510765699493852,"1983-2",NA,14.0368276637244,NA,NA,"Abbott et al 2019",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8637,14.0368276637244,0.510765699493852
"CCRCN",NA,NA,NA,"marsh",29.9190373141667,-93.3434706291667,"direct from dataset",1,"United States",2015,NA,0,0.02,"EA","Core-level",3.2368,0.162953189771474,"1983-3",NA,23.5326152729033,NA,NA,"Abbott et al 2019",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2368,23.5326152729033,0.162953189771474
